LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C2883218,X4621FVS-2x32-C43D65,XKB Connection,,"SMD,P=2mm","2mm 2 Gold 3A 64P Brass -40℃~+105℃ 250V Surface Mount,Vertical 2x32P 4.3mm Top Square Hole SMD,P=2mm Female Headers ROHS",YES,5,1.4046,7.02,,,-
C19173159,RL080002265,TROQ,,SMD3225-4P,8MHz Crystal Oscillator 8pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS,YES,10,0.1052,1.05,,,-
C41383241,XTM32016000GT00351001,TOGNJING,,SMD3225-4P,16MHz Crystal Oscillator 10pF ±10ppm ±10ppm SMD3225-4P Crystals ROHS,YES,10,0.0559,0.56,,,-
C42464296,XTM32025000QT00351001,TOGNJING,,SMD3225-4P,25MHz Crystal Oscillator 20pF ±10ppm ±10ppm SMD3225-4P Crystals ROHS,YES,10,0.0543,0.54,,,-
C398744,1TS015A-1000-0600-CT,HYP (Hongyuan Precision),,SMD,"No Without Bracket 50mA 3mm 300,000 Cycles 1N 12V 2mm 0.6mm Round Button Surface Mount,Vertical SPST SMD Tactile Switches ROHS",YES,20,0.0742,1.48,,,-
C390639,1TS016A-1600-0600-CT,HYP (Hongyuan Precision),,"SMD,2.6x3mm","No Without Bracket 50mA 3mm 300,000 Cycles 1.6N 12V 2.6mm 0.6mm Round Button Surface Mount,Vertical SPST SMD,2.6x3mm Tactile Switches ROHS",YES,20,0.088,1.76,,,-
C22357564,LCKFB-LSPI-Connection Line,LCSC-boards,,-,Development Boards & Kits ROHS,YES,10,0.9958,9.96,,,-
