LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C236266,CAT4104V-GT3,onsemi,,SOIC-8,25V PWM 4 175mA 3V~5.5V SOIC-8 LED Drivers ROHS,YES,13,0.7228,9.40,,,-
C40097,AD5160BRJZ10-RL7,Analog Devices,,SOT-23-8,±15% SPI 2.7V~5.5V 10kΩ SOT-23-8 Digital Potentiometers ROHS,YES,10,0.8867,8.87,,,-
C116601,SMAJ5.0CA,MDD(Microdiode Semiconductor),,DO-214AC(SMA),43.5A@10/1000us 400W@10/1000us 9.2V 7V Bidirectional 5V DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS,YES,60,0.0346,2.08,,,-
