LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C912146,RL06FTNR100,TA-I Tech,,0603,125mW 100mΩ SMD ±200ppm/℃ ±1% 0603 Current Sense Resistors RoHS,YES,100,0.0057,0.57,,,-
C575082,745253-2,TE Connectivity,,-,Multi Purpose RoHS,YES,5,0.2249,1.12,,,-
C5451762,HJ-MMCX008,HJ Tech,,-,MMCX Coaxial Connector (RF) Assemblies RoHS,YES,3,0.9505,2.85,,,-
C5274531,KH-MMCX-JE,kinghelm,,Through Hole,MMCX Board Side Through Hole Coaxial Connector (RF) Assemblies RoHS,YES,3,0.7967,2.39,,,-
C46595971,YHR0805SE1DR020F5,Yohey,,0805,500mW 20mΩ SMD Alloy Resistor ±1% 0805 Current Sense Resistors RoHS,YES,20,0.0303,0.61,,,-
C346600,RNCF0805TKY100R,SEI(Stackpole Electronics Inc.),,0805,125mW 100Ω ±5ppm/℃ Thin Film Resistor ±0.01% 0805 Chip Resistor - Surface Mount RoHS,YES,1,1.7198,1.72,,,-
C2998928,M254D-02-065-B,DEALON,,P=2.54mm,"2.54mm P=2.54mm Shunts, Jumpers RoHS",YES,50,0.0078,0.39,,,-
C73146,REF200AU/2K5,TI,,SOIC-8,100uA 2 ±0.25% SOIC-8 Current Regulation/Management RoHS,YES,3,3.0289,9.09,,,-
C2929805,FBF05FTPR100,PSA,,0805,500mW 100mΩ SMD Current Sense Resistor ±100ppm/℃ ±1% 0805 Current Sense Resistors RoHS,YES,20,0.0209,0.42,,,-
C861215,RT0603BRD071RL,YAGEO,,0603,1Ω 100mW 75V ±25ppm/℃ Thin Film Resistor ±0.1% 0603 Chip Resistor - Surface Mount RoHS,YES,20,0.0325,0.65,,,-
C6386919,1.27-4P TPPT,SHOU HAN,,"SMD,P=1.27mm","4 24V 25mA SPST 2,000 Cycles Black Slide, Recessed SMD,P=1.27mm DIP Switches/SIP Switches RoHS",YES,3,0.5558,1.67,,,-
C2934253,FRL0603FR500TS,FOJAN,,0603,500mΩ 100mW 100V ±300ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.0037,0.37,,,-
C382140,TP8005,TPOWER,,SOT-89-5L,1MHz Buck 1 DC-DC 1.2A 5V~36V SOT-89-5L LED Drivers ICs RoHS,YES,5,0.1578,0.79,,,-
C404005,ADR4550BRZ-R7,ADI,,SOIC-8,5V ±0.02% 5.1V~15V 10mA Fixed SOIC-8 Voltage Reference RoHS,YES,1,8.5571,8.56,,,-
C462641,LT3092ETS8#TRPBF,ADI,,TSOT-23-8,200mA ±1% TSOT-23-8 Current Regulation/Management RoHS,YES,1,4.2771,4.28,,,-
C42404610,PTFR0603Q10K0P9,RESI,,0603,10kΩ 100mW 100V ±25ppm/℃ Thin Film Resistor ±0.02% 0603 Chip Resistor - Surface Mount RoHS,YES,10,0.1107,1.11,,,-
C98105,NFM18PS105R0J3D,muRata,,"SMD-4P,1.6x0.8mm","1uF ±20% 30mΩ SMD-4P,1.6x0.8mm Feed Through Capacitors RoHS",YES,10,0.0396,0.40,,,-
C485782,CBW100505U750T,FH,,0402,170mΩ ±25% 75Ω@100MHz 0402 Ferrite Beads and Chips RoHS,YES,200,0.0016,0.32,,,-
C133929,FCM1005KF-601T05,TAI-TECH,,0402,800mΩ ±25% 600Ω@100MHz 0402 Ferrite Beads and Chips RoHS,YES,50,0.0026,0.13,,,-
C141722,HCB1005KF-121T20,TAI-TECH,,0402,95mΩ ±25% 120Ω@100MHz 0402 Ferrite Beads and Chips RoHS,YES,50,0.0031,0.16,,,-
C963863,ACMS160808A8003A,HYHONGYEX,,0603,40mΩ ±25% 80Ω@100MHz 0603 Ferrite Beads and Chips RoHS,YES,100,0.0039,0.39,,,-
C5137207,CBW160808U400T,FH,,0603,100mΩ ±25% 40Ω@100MHz 0603 Ferrite Beads and Chips RoHS,YES,100,0.0038,0.38,,,-
C2965599,SHKJ 1518-0730,SHOU HAN,,-,Hinged (Snap On) Round Cable Combination Cable Ferrites RoHS,YES,11,0.1837,2.02,,,-
C2965598,SHKJ 1730-0730A,SHOU HAN,,-,Hinged (Snap On) Round Cable Combination Cable Ferrites RoHS,YES,3,0.4128,1.24,,,-
