LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C726780,SMAJ11CA,TWGMC,,DO-214AC(SMA),22A 400W@10/1000us 18.2V 13.5V Bidirectional 11V DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS,YES,30,0.0313,0.94,,,-
C3001291,GT-USB-7082C,G-Switch,,SMD,5A USB 2.0 1 Through Hole 16P Female -40℃~+85℃ Type-C SMD USB Connectors ROHS,YES,10,0.4265,4.27,,,-
C9002,X322512MSB4SI,YXC Crystal Oscillators,,SMD3225-4P,12MHz Crystal Oscillator 20pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS,YES,10,0.0632,0.63,,,-
C3235000,TCAN1057AVDRQ1,Texas Instruments,,SOIC-8,8Mbps CAN FD Transceiver SOIC-8 CAN Transceivers ROHS,YES,5,0.7168,3.58,,,-
C38695,TJA1051T/3/1J,NXP Semicon,,SOIC-8-150mil,5Mbps CAN FD Transceiver SOIC-8-150mil CAN Transceivers ROHS,YES,10,0.4322,4.32,,,-
C7424755,3225-8.00-20-10-10/4B,Suzhou Liming Elec,,SMD3225-4P,8MHz 20pF ±10ppm SMD3225-4P Crystals ROHS,YES,10,0.1609,1.61,,,-
C22548,RC0603FR-071KL,YAGEO,,0603,100mW Thick Film Resistor 75V ±100ppm/℃ ±1% 1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,1000,0.0008,0.80,,,-
