LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Status
C1779,CL21A475KAQNNNE,Samsung Electro-Mechanics,0805,25V 4.7uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,0.0114,0.57,-
C1523,0402B102K500NT,FH (Guangdong Fenghua Advanced Tech),0402,50V 1nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,0.001,0.1,-
C239517,A1002WV-S-8P,CJT(Changjiang Connectors),"SMD,P=1mm","1x8P 8P SH 1 1mm 8 Phosphor Bronze SMD,P=1mm Wire To Board Connector ROHS",YES,10,0.2594,2.59,-
C239513,A1002WV-S-4P,CJT(Changjiang Connectors),"SMD,P=1mm","1x4P 4P SH 1 1mm 4 Phosphor Bronze SMD,P=1mm Wire To Board Connector ROHS",YES,30,0.2018,6.05,-
C239514,A1002WV-S-5P,CJT(Changjiang Connectors),"SMD,P=1mm","1x5P 5P SH 1 1mm 5 Phosphor Bronze SMD,P=1mm Wire To Board Connector ROHS",YES,20,0.2535,5.07,-
C239512,A1002WV-S-3P,CJT(Changjiang Connectors),"SMD,P=1mm","1x3P 3P SH 1 1mm 3 Phosphor Bronze SMD,P=1mm Wire To Board Connector ROHS",YES,15,0.1682,2.52,-
C239522,A1002WR-S-4P,CJT(Changjiang Connectors),"SMD,P=1mm,Surface Mount,Right Angle","1x4P 4P SH 1 1mm 4 Phosphor Bronze SMD,P=1mm,Surface Mount,Right Angle Wire To Board Connector ROHS",YES,15,0.1827,2.74,-
C910820,BSMD0603-035-16V,BHFUSE,0603,16V 350mA 40A 750mA 0603 Resettable Fuses ROHS,YES,20,0.0591,1.18,-
C2849537,PNLS6045-100,DMBJ,"SMD,6x6mm","4.5A 10uH Magnetic Shielded Inductor ±20% SMD,6x6mm Power Inductors ROHS",YES,10,0.1044,1.04,-
C62892,UMH3N,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOT-363,"100@1mA,5V 150mW 100mA 50V SOT-363 Digital Transistors ROHS",YES,10,0.0498,0.5,-
C11702,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,200,0.0005,0.1,-
C705024,AF0402FR-071K96L,YAGEO,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1.96kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0037,0.37,-
C23139,0603WAF3323T5E,UNI-ROYAL(Uniroyal Elec),0603,100mW Thick Film Resistor 75V ±100ppm/℃ ±1% 332kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,0.0011,0.11,-
C327339,RC0402FR-0751K1L,YAGEO,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 51.1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0007,0.07,-
C481923,CRCW040210K2FKED,Vishay Intertech,0402,63mW Thick Film Resistor 50V ±1% ±100ppm/℃ 10.2kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,50,0.0091,0.46,-
C25905,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0006,0.06,-
C25744,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,200,0.0005,0.1,-
C25896,0402WGF4752TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 47.5kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0006,0.06,-
C26083,0402WGF1004TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0006,0.06,-
C269505,RMC060368.1K1%N,TyoHM,0603,100mW Thick Film Resistor 50V ±100ppm/℃ ±1% 68.1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,0.0029,0.29,-
C43473,0402WGF2212TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 22.1kΩ 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0005,0.05,-
C138010,RC0402FR-07300RL,YAGEO,0402,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 300Ω 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0007,0.07,-
C17168,0402WGF0000TCE,UNI-ROYAL(Uniroyal Elec),0402,62.5mW Thick Film Resistor 50V ±800ppm/℃ ±1% 0Ω 0402 Chip Resistor - Surface Mount ROHS,YES,100,0.0005,0.05,-
C9865,TPS54331DR,Texas Instruments,SOIC-8,Buck Adjustable 800mV~25V 3A 3.5V~28V SOIC-8 DC-DC Converters ROHS,YES,10,0.2939,2.94,-
C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,"3A 1 Surface Mount, Right Angle 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS",YES,10,0.0523,0.52,-
C107410,DS3231MZ+TRL,Analog Devices Inc./Maxim Integrated,SOIC-8,I2C SOIC-8 Real Time Clocks ROHS,YES,2,2.0014,4.0,-
C123070,RB161MM-20TR,ROHM Semicon,SOD-123F,20V 350mV@1A 1A SOD-123F Schottky Diodes ROHS,YES,50,0.1059,5.3,-
C964760,BS-06-B4AK001,MYOUNG,SMD,Battery Holder Tin -25℃~+85℃ Phosphor Bronze CR2032 SMD Button And Strip Battery Connector ROHS,YES,15,0.243,3.65,-
C15906,XC6206P252MR,Torex Semicon,SOT-23-3L,"150mA Fixed 2.5V Positive 6V SOT-23-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,10,0.0731,0.73,-
C965557,WS2812B-4020,Worldsemi,"SMD,2x4mm","SMD,2x4mm RGB LEDs(Built-in IC) ROHS",YES,100,0.0851,8.51,-
C516130,"HL-AM-2835H421W-S1-08-HR5(R9)(6000K-7000K)(SDCM<6,R9>50)",HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)),SMD2835,60mA 6500K Frosted Yellow Lens -40℃~+85℃ op View Mount White 120° 306mW 3.4V SMD2835 LED Indication - Discrete ROHS,YES,50,0.0181,0.91,-
C2909966,XC6206P182MR,YONGYUTAI,SOT-23,"250mA Fixed 1.8V Positive 6V SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,20,0.0254,0.51,-
C116157,BSN20,Shikues,SOT-23,"50V 100mA 10Ω@2.75V,0.2A 1.5V@250uA 1 N-Channel SOT-23 MOSFETs ROHS",YES,100,0.0307,3.07,-
C3445239,RX220UF16V90RV0106,KNSCHA,"SMD,D6.3xL5.7mm","220uF 16V ±20% SMD,D6.3xL5.7mm Aluminum Electrolytic Capacitors - SMD ROHS",YES,20,0.0775,1.55,-
C5446865,GT-USB-7070A01,G-Switch,SMD,"USB 2.0 5A 1 Surface Mount, Right Angle 16P Female -40℃~+85℃ Type-C SMD USB Connectors ROHS",YES,30,0.3732,11.2,-
C62892,UMH3N,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOT-363,"100@1mA,5V 150mW 100mA 50V SOT-363 Digital Transistors ROHS",YES,40,0.0414,1.66,-
C964760,BS-06-B4AK001,MYOUNG,SMD,Battery Holder Tin -25℃~+85℃ Phosphor Bronze CR2032 SMD Button And Strip Battery Connector ROHS,YES,5,0.1858,0.93,-
C82544,1N5819HW-7-F,Diodes Incorporated,SOD-123,40V 1 Independent 450mV@1A 1A SOD-123 Schottky Diodes ROHS,YES,40,0.0272,1.09,-
C324473,"CUS520,H3F",TOSHIBA,SC-76(SOD-323),30V Independent 200mA 280mV@10mA SC-76(SOD-323) Schottky Diodes ROHS,YES,30,0.0401,1.2,-
C29718,4D03WGJ0103T5E,UNI-ROYAL(Uniroyal Elec),0603x4,"4 ±5% 10kΩ 62.5mW ±200ppm/℃ 0603x4 Resistor Networks, Arrays ROHS",YES,200,0.0055,1.1,-
C2655100,LSM6DSOTR,STMicroelectronics,LGA-14(2.5x3),Accelerometer Gyroscope LGA-14(2.5x3) Accelerometers ROHS,YES,3,1.9647,5.89,-
C318884,TS-1187A-B-A-B,XKB Connection,SMD,"No Without Bracket 50mA 5.1mm 100,000 Cycles 1.6N 12V 5.1mm 1.5mm Round Button Surface Mount,Vertical SPST SMD Tactile Switches ROHS",YES,100,0.0163,1.63,-
C2765095,ITR1205ST11A/TR,Everlight Elec,"SMD-4P,2x3.1mm","SMD-4P,2x3.1mm Photointerrupters - Slot Type - Transistor Output ROHS",YES,5,0.2495,1.25,-
C236266,CAT4104V-GT3,onsemi,SOIC-8,25V PWM 4 175mA 3V~5.5V SOIC-8 LED Drivers ROHS,YES,10,0.9046,9.05,-
C40097,AD5160BRJZ10-RL7,Analog Devices,SOT-23-8,±15% SPI 2.7V~5.5V 10kΩ SOT-23-8 Digital Potentiometers ROHS,YES,10,0.7283,7.28,-
C99652,CH340E,WCH(Jiangsu Qin Heng),MSOP-10,2Mbps Transceiver USB 2.0 MSOP-10 USB Converters ROHS,YES,10,0.5224,5.22,-
C695836,DS18B20U,"UMW(Youtai Semiconductor Co., Ltd.)",MSOP-8,-55℃~+125℃ ±0.4℃ 1-Wire MSOP-8 Temperature Sensors ROHS,YES,10,0.5387,5.39,-
