LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C2881908,X1321WVS-2x03J-C40D53,XKB Connection,,"SMD,P=1.27mm","Gold 250V 1A Pin Header 1mm 6P -40℃~+105℃ 1.27mm 2 Black Brass 2x3P 1.27mm SMD,P=1.27mm Pin Headers ROHS",YES,100,0.0817,8.17,,,-
C41370771,ZX-PZ1.27-2-3PWZ,Megastar,,"SMD,P=1.27mm","Gold 1A Surface Mount,Vertical Pin Header 1mm 6P 4mm -40℃~+105℃ 1.27mm Brass 2 Black 2x3P 1.27mm SMD,P=1.27mm Pin Headers ",NO,100,0.0473,4.73,,,-
C40097,AD5160BRJZ10-RL7,Analog Devices,,SOT-23-8,±15% SPI 2.7V~5.5V 10kΩ SOT-23-8 Digital Potentiometers ROHS,YES,15,0.7451,11.18,,,-
