LCSC Part Number,product_url,name,brand,sku,description,price,currency,image_url
C22466451,https://www.lcsc.com/product-detail/C22466451.html,TDSEMIC XC6220B331MR,TDSEMIC,C22466451,Linear Voltage Regulator IC Positive Fixed 1 Output 300mA SOT-23-5,0.0208,USD,https://assets.lcsc.com/images/lcsc/900x900/20240713_TDSEMIC-XC6220B331MR_C22466451_front.jpg
C3040644,https://www.lcsc.com/product-detail/C3040644.html,TECH PUBLIC XC6220B331MR,TECH PUBLIC,C3040644,"3.3V 5.5V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",0.0848,USD,https://assets.lcsc.com/images/lcsc/900x900/20230123_TECH-PUBLIC-XC6220B331MR_C3040644_front.jpg
C2830320,https://www.lcsc.com/product-detail/C2830320.html,TECH PUBLIC FS8205A,TECH PUBLIC,C2830320,20V 9A 1.5W Surface Mount SOT-23-6,0.0264,USD,https://assets.lcsc.com/images/lcsc/900x900/20230128_TECH-PUBLIC-FS8205A_C2830320_front.jpg
C19189893,https://www.lcsc.com/product-detail/C19189893.html,XI&#x27;AN Aerosemi Tech MT3608B,XI&#x27;AN Aerosemi Tech,C19189893,1.2MHz Boost Adjustable 4A SOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,0.00,USD,https://assets.lcsc.com/images/lcsc/900x900/20231215_XI-AN-Aerosemi-Tech-MT3608B_C19189893_front.jpg
C78162,https://www.lcsc.com/product-detail/C78162.html,SX SX1308,SX,C78162,1.2MHz Boost Adjustable 2A SOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,0.0549,USD,https://assets.lcsc.com/images/lcsc/900x900/20221231_SX-Shenzhen-Suosemi-Tech-SX1308_C78162_front.jpg
C191884,https://www.lcsc.com/product-detail/C191884.html,TI TPS54202DDCR,TI,C191884,500kHz Buck Adjustable 2A SOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,0.0793,USD,https://assets.lcsc.com/images/lcsc/900x900/20180921_Texas-Instruments-TPS54202DDCR_C191884_front.jpg
C2687116,https://www.lcsc.com/product-detail/C2687116.html,UMW USBLC6-2SC6,UMW,C2687116,15VC Clamp ESD DIODE SOT-23-6,0.0187,USD,https://assets.lcsc.com/images/lcsc/900x900/20230128_UMW-Youtai-Semiconductor-Co---Ltd--USBLC6-2SC6_C2687116_front.jpg
C19078229,https://www.lcsc.com/product-detail/C19078229.html,Wuxi Maxinmicro MX74610T,Wuxi Maxinmicro,C19078229,"480mV 9.4uA 60V 160mA SOT-23-6L OR Controllers, Ideal Diodes RoHS",0.2580,USD,https://assets.lcsc.com/images/lcsc/900x900/20231117_Wuxi-Maxinmicro-MX74610T_C19078229_front.jpg
C7519,https://www.lcsc.com/product-detail/C7519.html,ST USBLC6-2SC6,ST,C7519,17VC Clamp 5A Ipp ESD DIODE SOT-23-6L,0.0809,USD,https://assets.lcsc.com/images/lcsc/900x900/20221228_STMicroelectronics-USBLC6-2SC6_C7519_front.jpg
C40097,https://www.lcsc.com/product-detail/C40097.html,ADI AD5160BRJZ10-RL7,ADI,C40097,-40℃~+125℃ ±15% SPI 10kΩ SOT-23-8 Digital Potentiometers RoHS,1.3598,USD,https://assets.lcsc.com/images/lcsc/900x900/20240315_Analog-Devices-AD5160BRJZ10-RL7_C40097_front.jpg
C86534,https://www.lcsc.com/product-detail/C86534.html,TOREX XC6220B331MR-G,TOREX,C86534,"3.3V 6V Positive Fixed SOT-25 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",0.2194,USD,https://assets.lcsc.com/images/lcsc/900x900/20250927_TOREX-XC6220B331MR-G_C86534_front.jpg
C62892,https://www.lcsc.com/product-detail/C62892.html,JSCJ UMH3N,JSCJ,C62892,Pre-Biased Bipolar Transistor (BJT) 50V 100mA 150mW Surface Mount SOT-363,0.0271,USD,https://assets.lcsc.com/images/lcsc/900x900/20250929_JSCJ-UMH3N_C62892_front.jpg
C12494,https://www.lcsc.com/product-detail/C12494.html,"Nexperia 74AHCT1G125GV,125",Nexperia,C12494,"4.5V~5.5V 1 1 4.8ns@4.5V,50pF 40uA SOT-753 Buffers, Drivers, Receivers, Transceivers RoHS",0.0525,USD,https://assets.lcsc.com/images/lcsc/900x900/20221228_Nexperia-74AHCT1G125GV-125_C12494_front.jpg
C50936,https://www.lcsc.com/product-detail/C50936.html,HOLTEK HT7833,HOLTEK,C50936,Linear Voltage Regulator IC Positive Fixed 1 Output 500mA SOT-89-3,0.1358,USD,https://assets.lcsc.com/images/lcsc/900x900/20221230_Holtek-Semicon-HT7833_C50936_front.jpg
C382140,https://www.lcsc.com/product-detail/C382140.html,TPOWER TP8005,TPOWER,C382140,LED Driver IC 1 Output DC-DC Buck PWM Analog Dimming 1.2A SOT-89-5L,0.0886,USD,https://assets.lcsc.com/images/lcsc/900x900/20190401_TPOWER-TP8005_C382140_front.jpg
C18164398,https://www.lcsc.com/product-detail/C18164398.html,HL DW01A,HL,C18164398,Battery Protection IC Lithium-ion/Polymer SOT23-6,0.0105,USD,https://assets.lcsc.com/images/lcsc/900x900/20231104_HL-DW01A_C18164398_front.jpg
